"IdDocAdj";"IdNormativa";"Documento";"Ruta";"Formato";"Titulo";"Detalle";"Descripción";"Idioma";"CreadoPor";"FCreado";"ModificadoPor";"FModificado"
652;635;"2015008800063500000652.pdf";"\2015";"pdf";"Acuerdo valoración académica del profesorado no funcionario a efectos nombramiento como DAT o de pertenencia a las CAT (CG 28-05-2015) - BOUPV 88.pdf";;"Acuerdo sobre valoración académica del profesorado no funcionario a los efectos de su nombramiento como Director Académico de Título o de su pertenencia a las Comisiones Académicas de Título";;"p4c0b43n4";28/2/2021 12:51:18;"p4c0b43n4";28/2/2021 12:51:18
653;636;"2015008800063600000653.pdf";"\2015";"pdf";"Acuerdo de adscripción del Área de Conocimiento de Ingeniería Aeroespacial al Dep MMCTE (CG 28-05-2015) - BOUPV 88.pdf";;"Acuerdo de adscripción del Área de Conocimiento de Ingeniería Aeroespacial al Departamento de Mecánica de los Medios Continuos y Teoría de Estructuras";;"p4c0b43n4";28/2/2021 12:52:01;"p4c0b43n4";28/2/2021 12:52:01
654;637;"2015008800063700000654.pdf";"\2015";"pdf";"Propuesta de aprobación de la OPE del PDI para el año 2015 (CG 28-05-2015) - BOUPV 88.pdf";;"Propuesta de aprobación de la oferta de empleo público del Personal Docente e Investigador para el año 2015";;"p4c0b43n4";28/2/2021 12:52:48;"p4c0b43n4";28/2/2021 12:52:48
655;638;"2014008800063800000655.pdf";"\2014";"pdf";"Acuerdo del Consejo del Dep de Comunicaciones de la UPV - BOUPV 88.pdf";;"Acuerdo del Consejo del Departamento de Comunicaciones de la UPV";;"p4c0b43n4";28/2/2021 12:54:48;"p4c0b43n4";28/2/2021 12:54:48
656;639;"2015008800063900000656.pdf";"\2015";"pdf";"Acuerdo de concesión de distinciones, a título póstumo, a la Sra. Georgina Blanes Nadal (CG 28-05-2015) - BOUPV 88.pdf";;"Acuerdo de concesión de distinciones, a título póstumo, a la Sra. Georgina Blanes Nadal";;"p4c0b43n4";28/2/2021 12:55:50;"p4c0b43n4";28/2/2021 12:55:50
657;637;"2015008800063700000657.pdf";"\2015";"pdf";"Resolución de 29 de mayo de 2015, del rector de la UPV, publicación de la OPE del PDI para el año 2015 (DOGV 7546 12-06-2015).pdf";;"Propuesta de aprobación de la oferta de empleo público del Personal Docente e Investigador para el año 2015";;"p4c0b43n4";28/2/2021 13:00:41;"p4c0b43n4";28/2/2021 13:00:41
658;640;"2015008900064000000658.pdf";"\2015";"pdf";"Acuerdos del Consejo de Gobierno del día 16 de julio de 2015 (CG 16-07-2015) - BOUPV 89.pdf";;"Acuerdos del Consejo de Gobierno del día 16 de julio de 2015";;"p4c0b43n4";28/2/2021 13:10:37;"p4c0b43n4";28/2/2021 13:10:37
659;641;"2015008900064100000659.pdf";"\2015";"pdf";"Reglamento del IUI de Seguridad Industrial, Radiofísica y Medioambiental de la UPV (CG 16-07-2015) - BOUPV 89.pdf";;"Reglamento del Instituto Universitario de Investigación de Seguridad Industrial, Radiofísica y Medioambiental de la UPV";;"p4c0b43n4";28/2/2021 13:12:15;"p4c0b43n4";28/2/2021 13:12:15
660;642;"2015008900064200000660.pdf";"\2015";"pdf";"Reglamento del IUI de Ingeniería Energética de la UPV (CG 16-07-2015) - BOUPV 89.pdf";;"Reglamento del Instituto Universitario de Investigación de Ingeniería Energética de la UPV";;"p4c0b43n4";28/2/2021 13:12:49;"p4c0b43n4";28/2/2021 13:12:49
661;643;"2015008900064300000661.pdf";"\2015";"pdf";"Reglamento de la delegación de alumnos de la UPV (CG 16-07-2015) - BOUPV 89.pdf";;"Reglamento de la delegación de alumnos de la UPV";;"p4c0b43n4";28/2/2021 13:13:27;"p4c0b43n4";28/2/2021 13:13:27
662;644;"2015008900064400000662.pdf";"\2015";"pdf";"Recomendaciones y criterios de catalogación de la lengua de docencia en títulos de grado y máster (CG 16-07-2015) - BOUPV 89.pdf";;"Recomendaciones y criterios de catalogación de la lengua de docencia en títulos de grado y máster";;"p4c0b43n4";28/2/2021 13:14:17;"p4c0b43n4";28/2/2021 13:14:17
663;645;"2015008900064500000663.pdf";"\2015";"pdf";"Acuerdo de Junta de ETSII, que delega la competencia “Informar las solicitudes de reconocimiento de créditos” en CPJE - BOUPV 89.pdf";;"Acuerdo de Junta de Escuela de la Escuela Técnica Superior de Ingenieros Industriales, que delega la competencia “Informar las solicitudes de reconocimiento de créditos” en Comisión Permanente de Junta de Escuela";;"p4c0b43n4";28/2/2021 13:16:20;"p4c0b43n4";28/2/2021 13:16:20
664;646;"2015008900064600000664.pdf";"\2015";"pdf";"Acuerdo de CAT Grado en Ingeniería Biomédica, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en CPJE - BOUPV 89.pdf";;"Acuerdo de CAT de Grado en Ingeniería Biomédica, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en la Comisión Permanente de Junta de Escuela";;"p4c0b43n4";28/2/2021 13:17:32;"p4c0b43n4";28/2/2021 13:17:32
665;647;"2015008900064700000665.pdf";"\2015";"pdf";"Acuerdo de CAT Grado en Ingeniería de la Energía, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en CPJE - BOUPV 89.pdf";;"Acuerdo de CAT de Grado en Ingeniería de la Energía, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en la Comisión Permanente de Junta de Escuela";;"p4c0b43n4";28/2/2021 13:19:35;"p4c0b43n4";28/2/2021 13:19:35
666;648;"2015008900064800000666.pdf";"\2015";"pdf";"Acuerdo de CAT Grado en Ingeniería Química, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en CPJE - BOUPV 89.pdf";;"Acuerdo de CAT de Grado en Ingeniería Química, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en la Comisión Permanente de Junta de Escuela";;"p4c0b43n4";28/2/2021 13:20:25;"p4c0b43n4";28/2/2021 13:20:25
667;649;"2015008900064900000667.pdf";"\2015";"pdf";"Acuerdo de CAT Grado en Ingeniería en Tecnologías Industriales, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en CPJE - BOUPV 89.pdf";;"Acuerdo de CAT de Grado en Ingeniería en Tecnologías Industriales, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en la Comisión Permanente de Junta de Escuela";;"p4c0b43n4";28/2/2021 13:21:08;"p4c0b43n4";28/2/2021 13:21:08
668;650;"2015008900065000000668.pdf";"\2015";"pdf";"Acuerdo de CAT Grado en Ingeniería de Organización Industrial, delegan competencias de “informar y proponer el reconocimiento de créditos”, en CPJE - BOUPV 89.pdf";;"Acuerdo de CAT de Grado en Ingeniería de Organización Industrial, que delegan competencias de “informar y proponer el reconocimiento de créditos”, en la Comisión Permanente de Junta de Escuela";;"p4c0b43n4";28/2/2021 13:22:03;"p4c0b43n4";28/2/2021 13:22:03
669;651;"2015008900065100000669.pdf";"\2015";"pdf";"Acuerdos del Consejo de Gobierno del día 28 de mayo de 2015 (CG 28-05-2015).pdf";;"Acuerdos del Consejo de Gobierno del día 28 de mayo de 2015";;"p4c0b43n4";28/2/2021 13:23:05;"p4c0b43n4";28/2/2021 13:23:05
670;652;"2015008900065200000670.pdf";"\2015";"pdf";"Convenios firmados por la UPV y depositados en la Secretaría General desde publicación anterior del BOUPV - BOUPV 89.pdf";;"Convenios firmados por la UPV y depositados en la Secretaría General de la universidad desde la publicación anterior del BOUPV";;"p4c0b43n4";28/2/2021 13:24:13;"p4c0b43n4";28/2/2021 13:24:13
671;653;"2015008900065300000671.pdf";"\2015";"pdf";"Relación de patentes de la UPV - BOUPV 89.pdf";;"Relación de patentes de la UPV";;"p4c0b43n4";28/2/2021 13:24:43;"p4c0b43n4";28/2/2021 13:24:43
672;654;"2015009000065400000672.pdf";"\2015";"pdf";"Acuerdo de modificación parcial del Reglamento de Régimen Electoral de la UPV (CG 24-09-2015) - BOUPV 90.pdf";;"Acuerdo de modificación parcial del Reglamento de Régimen Electoral de la UPV";;"p4c0b43n4";28/2/2021 13:26:51;"p4c0b43n4";28/2/2021 13:26:51
673;655;"2015009000065500000673.pdf";"\2015";"pdf";"Convocatoria de elecciones y calendario de renovación de los representantes de los alumnos (septiembre 2015) (CG 24-09-2015) - BOUPV 90.pdf";;"Convocatoria de elecciones y calendario de renovación de los representantes de los alumnos (septiembre 2015)";;"p4c0b43n4";28/2/2021 13:27:58;"p4c0b43n4";28/2/2021 13:27:58
674;656;"2015009000065600000674.pdf";"\2015";"pdf";"Acuerdo del 10 julio 2015, de CEv Grado Ingeniería Biomédica, se delega en Secretario de Escuela evaluación curricular art 23.7 NRAEA - BOUPV 90.pdf";;"Acuerdo del 10 de julio de 2015, de la Comisión de Evaluación Grado en Ingeniería Biomédica, se delega en Secretario de Escuela la evaluación curricular art 23.7 NRAEA";;"p4c0b43n4";28/2/2021 13:28:50;"p4c0b43n4";28/2/2021 13:28:50
675;657;"2015009000065700000675.pdf";"\2015";"pdf";"Acuerdo del 10 julio 2015, de CEv Grado Ingeniería de la Energía, se delega en Secretario de Escuela evaluación curricular art 23.7 NRAEA - BOUPV 90.pdf";;"Acuerdo del 10 de julio de 2015, de la Comisión de Evaluación Grado en Ingeniería de la Energía, se delega en Secretario de Escuela la evaluación curricular art 23.7 NRAEA";;"p4c0b43n4";28/2/2021 13:29:22;"p4c0b43n4";28/2/2021 13:29:22
676;658;"2015009000065800000676.pdf";"\2015";"pdf";"Acuerdo del 10 julio 2015, de CEv Grado Organización Industrial, se delega en Secretario de Escuela evaluación curricular art 23.7 NRAEA - BOUPV 90.pdf";;"Acuerdo del 10 de julio de 2015, de la Comisión de Evaluación Grado en Organización Industrial, se delega en Secretario de Escuela la evaluación curricular art 23.7 NRAEA";;"p4c0b43n4";28/2/2021 13:30:39;"p4c0b43n4";28/2/2021 13:30:39
677;659;"2015009000065900000677.pdf";"\2015";"pdf";"Acuerdo del 10 julio 2015, de CEv Grado Ingeniería Química, se delega en Secretario de Escuela evaluación curricular art 23.7 NRAEA - BOUPV 90.pdf";;"Acuerdo del 10 de julio de 2015, de la Comisión de Evaluación Grado en Ingeniería Química, se delega en Secretario de Escuela la evaluación curricular art 23.7 NRAEA";;"p4c0b43n4";28/2/2021 13:31:15;"p4c0b43n4";28/2/2021 13:31:15
678;660;"2015009000066000000678.pdf";"\2015";"pdf";"Acuerdo del 10 julio 2015, de CEv Grado Tecnologías Industriales, se delega en Secretario de Escuela evaluación curricular art 23.7 NRAEA - BOUPV 90.pdf";;"Acuerdo del 10 de julio de 2015, de la Comisión de Evaluación Grado en Tecnologías Industriales, se delega en Secretario de Escuela la evaluación curricular art 23.7 NRAEA";;"p4c0b43n4";28/2/2021 13:32:10;"p4c0b43n4";28/2/2021 13:32:10
679;661;"2014009000066100000679.pdf";"\2014";"pdf";"Acuerdo del Consejo del Dep de Comunicaciones de la UPV de nombramiento de miembro de la Comisión Docente - BOUPV 90.pdf";;"Acuerdo del Consejo del Departamento de Comunicaciones de la UPV de nombramiento de miembro de la Comisión Docente";;"p4c0b43n4";28/2/2021 13:33:12;"p4c0b43n4";28/2/2021 13:33:12
680;662;"2014009000066200000680.pdf";"\2014";"pdf";"Acuerdo del Consejo del Dep de Comunicaciones de la UPV de renovación de miembros de la Comisión Permanente - BOUPV 90.pdf";;"Acuerdo del Consejo del Departamento de Comunicaciones de la UPV de renovación de miembros de la Comisión Permanente";;"p4c0b43n4";28/2/2021 13:34:28;"p4c0b43n4";28/2/2021 13:34:28
681;663;"2015009000066300000681.pdf";"\2015";"pdf";"Acuerdo del Consejo del Dep de Comunicaciones de la UPV  de renovación de algunos miembros - BOUPV 90.pdf";;"Acuerdo del Consejo del Departamento de Comunicaciones de la UPV de renovación de algunos miembros";;"p4c0b43n4";28/2/2021 13:35:52;"p4c0b43n4";28/2/2021 13:35:52
682;664;"2015009000066400000682.pdf";"\2015";"pdf";"Acuerdo del Consejo del Dep de Comunicaciones de la UPV la aprobación de colaboraciones docentes de investigadores contratados - BOUPV 90.pdf";;"Acuerdo del Consejo del Departamento de Comunicaciones de la UPV sobre la aprobación de colaboraciones docentes de investigadores contratados";;"p4c0b43n4";28/2/2021 13:36:41;"p4c0b43n4";28/2/2021 13:36:41
683;665;"2015009100066500000683.pdf";"\2015";"pdf";"Acuerdos del Consejo de Gobierno del día 5 de noviembre de 2015 (CG 05-11-2015) - BOUPV 91.pdf";;"Acuerdos del Consejo de Gobierno del día 5 de noviembre de 2015";;"p4c0b43n4";28/2/2021 16:44:31;"p4c0b43n4";28/2/2021 16:44:31
684;666;"2015009100066600000684.pdf";"\2015";"pdf";"Reglamento regulador de la ocupación temporal de espacios e instalaciones en la CPI de la UPV [TR] (CG 05-11-2015) - BOUPV 91.pdf";;"Reglamento regulador de la ocupación temporal de espacios e instalaciones en la Ciudad Politècnica de la UPV [TR]";;"p4c0b43n4";28/2/2021 16:49:23;"p4c0b43n4";28/2/2021 16:49:23
685;667;"2015009100066700000685.pdf";"\2015";"pdf";"Resolución del Rector, de 30 de Octubre de 2015, modifica EOyF órganos de gobierno unipersonal de ámbito general UPV - BOUPV 91.pdf";;"Resolución del Rector, de 30 de Octubre de 2015, modifica estructura orgánica y funcional órganos de gobierno unipersonal de ámbito general UPV";;"p4c0b43n4";28/2/2021 16:51:13;"p4c0b43n4";28/2/2021 16:51:13
686;668;"2015009200066800000686.pdf";"\2015";"pdf";"Acuerdos del Consejo de Gobierno del día 17 de diciembre de 2015 (CG 17-12-2015) - BOUPV 92.pdf";;"Acuerdos del Consejo de Gobierno del día 17 de diciembre de 2015";;"p4c0b43n4";28/2/2021 17:00:01;"p4c0b43n4";28/2/2021 17:00:01
687;669;"2015009200066900000687.pdf";"\2015";"pdf";"Reglamento del Instituto Universitario de Ciencia y Tecnología Animal de la UPV (CG 17-12-2015) - BOUPV 92.pdf";;"Reglamento del Instituto Universitario de Ciencia y Tecnología Animal de la UPV";;"p4c0b43n4";28/2/2021 17:00:34;"p4c0b43n4";28/2/2021 17:00:34
688;670;"2015009200067000000688.pdf";"\2015";"pdf";"Reglamento del Instituto Agroforestal Mediterráneo de la UPV (CG 17-12-2015) - BOUPV 92.pdf";;"Reglamento del Instituto Agroforestal Mediterráneo de la UPV";;"p4c0b43n4";28/2/2021 17:01:00;"p4c0b43n4";28/2/2021 17:01:00
689;672;"2015009200067200000689.pdf";"\2015";"pdf";"Modificación parcial protocolo actuación frente al acoso sexual y por razón de sexo (CG 17-12-2015) - BOUPV 92.pdf";;"Modificación parcial del protocolo de actuación frente al acoso sexual y al acoso por razón de sexo";;"p4c0b43n4";28/2/2021 17:02:29;"p4c0b43n4";28/2/2021 17:02:29
690;673;"2015009200067300000690.pdf";"\2015";"pdf";"Normativa de acreditaciones de la UPV (CG 17-12-2015) - BOUPV 92.pdf";;"Normativa de acreditaciones de la UPV";;"p4c0b43n4";28/2/2021 17:03:23;"p4c0b43n4";28/2/2021 17:03:23
691;674;"2015009200067400000691.pdf";"\2015";"pdf";"Acuerdo de nombramiento como Doctor Honoris Causa de D. Vladimir E. Fortov (CG 17-12-2015) - BOUPV 92.pdf";;"Acuerdo de nombramiento como Doctor Honoris Causa de D. Vladimir E. Fortov";;"p4c0b43n4";28/2/2021 17:05:41;"p4c0b43n4";28/2/2021 17:05:41
692;675;"2015009200067500000692.pdf";"\2015";"pdf";"Acuerdo de modificación parcial Reglamento Regulador Gestión de Invest, Desarrollo, Transf Tecnología y Form Permanente (CG 17-12-2015) - BOUPV 92.pdf";;"Acuerdo de modificación parcial Reglamento Regulador Gestión de Actividades de Investigación, Desarrollo, Transferencia de Tecnología y Formación Permanente";;"p4c0b43n4";28/2/2021 17:06:18;"p4c0b43n4";28/2/2021 17:06:18
693;676;"2015009200067600000693.pdf";"\2015";"pdf";"Normativa de Organización Académica de la UPV (CG 17-12-2015) - BOUPV 92.pdf";;"Normativa de Organización Académica de la UPV";;"p4c0b43n4";28/2/2021 17:09:02;"p4c0b43n4";28/2/2021 17:09:02
694;677;"2015009200067700000694.pdf";"\2015";"pdf";"Modificación parcial del Índice de Actividad Académica (IAA) (CG 17-12-2015) - BOUPV 92.pdf";;"Modificación parcial del Índice de Actividad Académica (IAA)";;"p4c0b43n4";28/2/2021 17:09:58;"p4c0b43n4";28/2/2021 17:09:58
695;678;"2015009200067800000695.pdf";"\2015";"pdf";"Encargo docente de la UPV para cada curso académico en titulaciones de grado, máster y doctorado (CG 17-12-2015) - BOUPV 92.pdf";;"Encargo docente de la UPV para cada curso académico en titulaciones de grado, máster universitario y doctorado (CG 17-12-2015) - BOUPV 92";;"p4c0b43n4";28/2/2021 17:15:41;"p4c0b43n4";28/2/2021 17:15:41
696;679;"2015009200067900000696.pdf";"\2015";"pdf";"Sistema y criterios de asignación de recursos docentes de profesorado para la organización académica de MU UPV (CG 17-12-2015) - BOUPV 92.pdf";;"Sistema y criterios de asignación de los recursos docentes de profesorado para la organización académica de los Másteres Universitarios impartidos por la UPV";;"p4c0b43n4";28/2/2021 17:16:39;"p4c0b43n4";28/2/2021 17:16:39
697;680;"2015009200068000000697.pdf";"\2015";"pdf";"Resumen del presupuesto de la UPV para el año 2016 (CG 17-12-2015) - BOUPV 92.pdf";;"Resumen del presupuesto de la UPV para el año 2016";;"p4c0b43n4";28/2/2021 17:17:25;"p4c0b43n4";28/2/2021 17:17:25
698;681;"2015009200068100000698.pdf";"\2015";"pdf";"Acuerdo de renovación de comisiones del Dep de MMCTE - BOUPV 92.pdf";;"Acuerdo de renovación de comisiones del Departamento de Mecánica de los Medios Continuos y Teoría de Estructuras";;"p4c0b43n4";28/2/2021 17:19:27;"p4c0b43n4";28/2/2021 17:19:27
699;682;"2015009200068200000699.pdf";"\2015";"pdf";"Calendario de reuniones del Consejo de Gobierno para el año 2016 (CG 17-12-2015) - BOUPV 92.pdf";;"Calendario de reuniones del Consejo de Gobierno para el año 2016";;"p4c0b43n4";28/2/2021 17:21:24;"p4c0b43n4";28/2/2021 17:21:24
700;683;"2016009300068300000700.pdf";"\2016";"pdf";"Acuerdos del Consejo de Gobierno del día 4 de febrero de 2016 (CG 04-02-2016) - BOUPV 93.pdf";;"Acuerdos del Consejo de Gobierno del día 4 de febrero de 2016";;"p4c0b43n4";28/2/2021 17:25:07;"p4c0b43n4";28/2/2021 17:25:07
701;684;"2016009300068400000701.pdf";"\2016";"pdf";"Calendario laboral del PAS para el año 2016 (CG 04-02-2016) - BOUPV 93.pdf";;"Calendario laboral del PAS para el año 2016";;"p4c0b43n4";28/2/2021 17:25:38;"p4c0b43n4";28/2/2021 17:25:38
702;685;"2016009300068500000702.pdf";"\2016";"pdf";"Manual de Internacionalización de los centros de la UPV (CG 04-02-2016) - BOUPV 93.pdf";;"Manual de Internacionalización de los centros de la UPV";;"p4c0b43n4";28/2/2021 17:26:06;"p4c0b43n4";28/2/2021 17:26:06
703;686;"2016009300068600000703.pdf";"\2016";"pdf";"Calendario académico para el curso 2016-17 (CG 04-02-2016) - BOUPV 93.pdf";;"Calendario académico para el curso 2016-17";;"p4c0b43n4";28/2/2021 17:26:39;"p4c0b43n4";28/2/2021 17:26:39
704;687;"2016009300068700000704.pdf";"\2016";"pdf";"Propuesta de los límites de admisión de grado y máster para el curso 2016-2017 (CG 04-02-2016) - BOUPV 93.pdf";;"Propuesta de los límites de admisión de grado y máster para el curso 2016-2017";;"p4c0b43n4";28/2/2021 17:27:02;"p4c0b43n4";28/2/2021 17:27:02
705;688;"2016009300068800000705.pdf";"\2016";"pdf";"Condiciones de permanencia en los estudios de doctorado (CG 04-02-2016) - BOUPV 93.pdf";;"Condiciones de permanencia en los estudios de doctorado";;"p4c0b43n4";28/2/2021 17:27:25;"p4c0b43n4";28/2/2021 17:27:25
706;689;"2016009300068900000706.pdf";"\2016";"pdf";"Nombramiento como Doctor Honoris Causa del profesor Roger Malina (CG 04-02-2016) - BOUPV 93.pdf";;"Nombramiento como Doctor Honoris Causa del profesor Roger Malina";;"p4c0b43n4";28/2/2021 17:27:53;"p4c0b43n4";28/2/2021 17:27:53
707;690;"2015009300069000000707.pdf";"\2015";"pdf";"Nombramiento de nueva Secretaria del Comité de Ética en Investigación de la UPV (CG 04-02-2016) - BOUPV 93.pdf";;"Nombramiento de nueva Secretaria del Comité de Ética en Investigación de la UPV";;"p4c0b43n4";28/2/2021 17:28:49;"p4c0b43n4";28/2/2021 17:28:49
708;691;"2014009300069100000708.pdf";"\2014";"pdf";"Adecuación de la composición del Comité de Ética en Experimentación Animal de la UPV (CG 04-02-2016) - BOUPV 93.pdf";;"Adecuación de la composición del Comité de Ética en Experimentación Animal de la UPV";;"p4c0b43n4";28/2/2021 17:30:43;"p4c0b43n4";28/2/2021 17:30:43
709;692;"2016009300069200000709.pdf";"\2016";"pdf";"Acuerdo de autorización constitución servidumbre de paso y uso Comunidad de regantes de la Acequia de Mestalla (CG 04-02-2016) - BOUPV 93.pdf";;"Acuerdo de autorización para la constitución de una servidumbre de paso y uso a favor de la Comunidad de regantes de la Acequia de Mestalla al objeto de ubicar un pozo de emergencia para la sustitución de servidumbre de riego de la Acequia de Mestalla";;"p4c0b43n4";28/2/2021 17:33:07;"p4c0b43n4";28/2/2021 17:33:07
710;693;"2016009300069300000710.pdf";"\2016";"pdf";"Condición de matrícula mínima para impartición de títulos de Máster en el curso 2016-17 (CG 04-02-2016) - BOUPV 93.pdf";;"Condición de matrícula mínima para impartición de títulos de Máster en el curso 2016-17";;"p4c0b43n4";28/2/2021 17:33:44;"p4c0b43n4";28/2/2021 17:33:44
711;695;"2016009300069500000711.pdf";"\2016";"pdf";"Resolución del Rector, de 21 de Enero de 2016, corrección de errores resolución de 30 de octubre de 2015, EOyF (CG 04-02-2016) - BOUPV 93.pdf";;"Resolución del Rector, de 21 de Enero de 2016, corrección de errores resolución de 30 de octubre de 2015, modifica EOyF órganos de gobierno unipersonal de ámbito general UPV";;"p4c0b43n4";28/2/2021 17:35:36;"p4c0b43n4";28/2/2021 19:02:18
712;696;"2015009300069600000712.pdf";"\2015";"pdf";"Presupuesto de la Fundación CEDAT de la Comunitat Valenciana para el año 2016 (CG 04-02-2016) - BOUPV 93.pdf";;"Presupuesto de la Fundación CEDAT de la Comunitat Valenciana para el año 2016";;"p4c0b43n4";28/2/2021 17:36:47;"p4c0b43n4";28/2/2021 17:36:47
713;697;"2015009300069700000713.pdf";"\2015";"pdf";"Presupuesto de la Fundación CPI de la Comunitat Valenciana para el año 2016 (CG 04-02-2016) - BOUPV 93.pdf";;"Presupuesto de la Fundación Ciudad Politècnica de la Innovación de la Comunitat Valenciana para el año 2016";;"p4c0b43n4";28/2/2021 17:37:25;"p4c0b43n4";28/2/2021 17:37:25
714;698;"2015009300069800000714.pdf";"\2015";"pdf";"Presupuesto de la Fundación Agromuseo de Vera de la Comunitat Valenciana para el año 2016 (CG 04-02-2016) - BOUPV 93.pdf";;"Presupuesto de la Fundación Agromuseo de Vera de la Comunitat Valenciana para el año 2016";;"p4c0b43n4";28/2/2021 17:38:09;"p4c0b43n4";28/2/2021 17:38:09
715;699;"2015009300069900000715.pdf";"\2015";"pdf";"Presupuesto de la Fundación Servipoli de la Comunitat Valenciana (CG 04-02-2016) - BOUPV 93.pdf";;"Presupuesto de la Fundación Servipoli de la Comunitat Valenciana";;"p4c0b43n4";28/2/2021 17:38:46;"p4c0b43n4";28/2/2021 17:38:46
716;700;"2016009300070000000716.pdf";"\2016";"pdf";"Acuerdo de concesión de la Medalla XXV años de la UPV (CG 04-02-2016) - BOUPV 93.pdf";;"Acuerdo de concesión de la Medalla XXV años de la UPV";;"p4c0b43n4";28/2/2021 17:39:12;"p4c0b43n4";28/2/2021 17:39:12
717;701;"2016009300070100000717.pdf";"\2016";"pdf";"Adecuación de la Composición de Comisión del Consejo de Gobierno de la UPV (CG 04-02-2016) - BOUPV 93.pdf";;"Adecuación de la Composición de Comisión del Consejo de Gobierno de la UPV";;"p4c0b43n4";28/2/2021 17:40:13;"p4c0b43n4";28/2/2021 17:40:13
718;702;"2016009400070200000718.pdf";"\2016";"pdf";"Acuerdos del Consejo de Gobierno del día 10 de marzo de 2016 (CG 10-03-2016) - BOUPV 94.pdf";;"Acuerdos del Consejo de Gobierno del día 10 de marzo de 2016";;"p4c0b43n4";28/2/2021 17:44:09;"p4c0b43n4";28/2/2021 17:44:09
719;703;"2016009400070300000719.pdf";"\2016";"pdf";"Acuerdo de constitución de las Unidades Docentes del DSIC (CG 10-03-2016) - BOUPV 94.pdf";;"Acuerdo de constitución de las Unidades Docentes del Departamento de Informática de Sistemas y Computadores";;"p4c0b43n4";28/2/2021 17:44:48;"p4c0b43n4";28/2/2021 17:44:48
720;704;"2016009400070400000720.pdf";"\2016";"pdf";"Informe en relación a las elecciones previstas en 2016 y la utilización del voto electrónico (CG 10-03-2016) - BOUPV 94.pdf";;"Informe en relación a las elecciones previstas en 2016 y la utilización del voto electrónico";;"p4c0b43n4";28/2/2021 17:45:32;"p4c0b43n4";28/2/2021 17:45:32
721;705;"2016009400070500000721.pdf";"\2016";"pdf";"Acuerdo en relación a la Escuela Infantil (CG 10-03-2016) - BOUPV 94.pdf";;"Acuerdo en relación a la Escuela Infantil";;"p4c0b43n4";28/2/2021 17:46:27;"p4c0b43n4";28/2/2021 17:46:27
722;706;"2016009400070600000722.pdf";"\2016";"pdf";"Acuerdo de modificación parcial del calendario académico universitario del curso 2016-2017 (CG 10-03-2016) - BOUPV 94.pdf";;"Acuerdo de modificación parcial del calendario académico universitario del curso 2016-2017";;"p4c0b43n4";28/2/2021 17:47:15;"p4c0b43n4";28/2/2021 17:47:15
723;707;"2016009400070700000723.pdf";"\2016";"pdf";"Acuerdo de modificación de la oferta de plazas en másteres para el curso 2016-17 (CG 10-03-2016) - BOUPV 94.pdf";;"Acuerdo de modificación de la oferta de plazas en másteres para el curso 2016-17";;"p4c0b43n4";28/2/2021 17:49:11;"p4c0b43n4";28/2/2021 17:49:11
724;708;"2016009400070800000724.pdf";"\2016";"pdf";"Modificación parcial del reglamento regulador ocupación temporal de espacios e instalaciones en CPI UPV (CG 10-03-2016) - BOUPV 94.pdf";;"Modificación parcial del reglamento regulador de la ocupación temporal de espacios e instalaciones en la Ciudad Politécnica de la Innovación de la UPV";;"p4c0b43n4";28/2/2021 17:53:24;"p4c0b43n4";28/2/2021 17:53:24
725;709;"2016009400070900000725.pdf";"\2016";"pdf";"Propuesta a los Premios Rey Jaime I 2016 Candidatura emprendedor 2016 a Iñaki Berenguer Mediavilla (CG 10-03-2016) - BOUPV 94.pdf";;"Propuesta a los Premios Rey Jaime I 2016 Candidatura emprendedor 2016 a Iñaki Berenguer Mediavilla";;"p4c0b43n4";28/2/2021 17:54:45;"p4c0b43n4";28/2/2021 17:54:45
726;710;"2016009400071000000726.pdf";"\2016";"pdf";"Acuerdo de aprobación de la oferta de empleo público del PDI para el año 2016 (CG 10-03-2016) - BOUPV 94.pdf";;"Acuerdo de aprobación de la oferta de empleo público del Personal Docente e Investigador para el año 2016";;"p4c0b43n4";28/2/2021 17:55:25;"p4c0b43n4";28/2/2021 17:55:25
727;711;"2016009400071100000727.pdf";"\2016";"pdf";"Modificación de la norma 5.5 de las de funcionamiento del presupuesto de la UPV para 2016 (CG 10-03-2016) - BOUPV 94.pdf";;"Modificación de la norma 5.5 de las de funcionamiento del presupuesto de la UPV para 2016, sobre la tramitación de “anticipo de fondos a justificar”";;"p4c0b43n4";28/2/2021 17:56:46;"p4c0b43n4";28/2/2021 17:56:46
728;712;"2016009400071200000728.pdf";"\2016";"pdf";"Acuerdo de aprobación de la Política Ambiental de la UPV para 2016 (CG 10-03-2016) - BOUPV 94.pdf";;"Acuerdo de aprobación de la Política Ambiental de la UPV para 2016";;"p4c0b43n4";28/2/2021 17:58:00;"p4c0b43n4";28/2/2021 17:58:00
